国家,value
哥伦比亚,2
沙特,4
哈萨克斯坦,2
厄瓜多尔,2
智利,2
波黑,2
南非,2
加纳,6
马达加斯加,1
巴基斯坦,21
莫桑比克,1
博茨瓦纳,2
冈比亚,2
阿尔及利亚,2
伊拉克,3
乌兹别克斯坦,6
缅甸,3
塞内加尔,2
土耳其,2
塞拉利昂,2
玻利维亚,2
塔吉克,6
马里,2
泰国,2
科特迪瓦,2
刚果,2
几内亚,2
斯威士兰,2
贝宁,5
喀麦隆,1
摩洛哥,3
印尼,11
突尼斯,4
坦桑尼亚,4
佛得角,2
秘鲁,2
阿富汗,4
阿根廷,4
马尔代夫,2
多国,4
所罗门,2
毛里塔尼亚,12
安哥拉,2
哥斯达黎加,2
布基纳法索,5
赞比亚,4
布隆迪,1
孟加拉,2
乌干达,8
尼加拉瓜,2
阿联酋,2
越南,2
柬埔寨,2
